period,CCALX,DFSTX,FSMDX,FSSNX,FTIHX,FXAIX,FXNAX,JVMRX,OTCKX,PHIYX,PTRQX,RERGX,RFDTX,RFETX,RFFTX,RFGTX,RFHTX,RFITX,RFJTX,RFKTX,RFTTX,RFUTX,RLLGX,RRCTX,UGLSX,VEIRX
2008-02-01,,10.145489692687988,,,,,,,,3.498234748840332,,,,,,,,,,,,,,,,21.66770362854004
2008-03-01,,10.157118797302246,,,,,,,,3.4728682041168213,,,,,,,,,,,,,,,,21.727846145629883
2008-04-01,,10.501862525939941,,,,,,,,3.603811025619507,,,,,,,,,,,,,,,,22.57514190673828
2008-05-01,,11.003063201904297,,,,,,,,3.583608388900757,,,,,,,,,,,,,,,,22.6031551361084
2008-06-01,,9.99483871459961,,,,,,,,3.472872257232666,,,,,,,,,,,,,,,,20.36757469177246
2008-07-01,,10.333578109741211,,,,,,,,3.4097650051116943,,,,,,,,,,,,,,,,20.691308975219727
2008-08-01,,10.707432746887207,,,,,,,,3.4257700443267822,,,,,,,,,,,,,,,,20.922048568725586
2008-09-01,,9.819527626037598,,,,,,,,3.100088596343994,,,,,,,,,,,,,,,,19.773056030273438
2008-10-01,,7.822900295257568,,,,,,,,2.710587501525879,,,,,,,,,,,,,,,,17.313335418701172
2008-11-01,,6.8677449226379395,,,,,,,,2.5076632499694824,,,,,,,,,,,,,,,,16.243440628051758
2008-12-01,,7.149016380310059,,,,,,,,2.6906983852386475,,,,,,,,,,,,,,,,16.08652687072754
2009-01-01,,6.408988952636719,,,,,,,,2.779327392578125,,,,,,,,,,,,,,,,14.437311172485352
2009-02-01,,5.635183811187744,,,,,,,,2.633316993713379,,,,,,,,,,,,,,,,12.655046463012695
2009-03-01,,6.202246189117432,,,,,,,,2.7058417797088623,,,,,,,,,,,,,,,,13.633345603942871
2009-04-01,,7.370785236358643,,,,,,,,2.9206318855285645,,,,,,,,,,,,,,,,14.8958158493042
2009-05-01,,7.631276607513428,,,,,,,,3.1004250049591064,,21.08698081970215,4.229770183563232,4.205991744995117,4.2062764167785645,4.2328104972839355,4.284719467163086,4.189180850982666,4.281364917755127,,4.132240295410156,,14.332667350769043,4.306992053985596,,15.764245986938477
2009-06-01,,7.808887958526611,,,,,,,,3.171043872833252,,20.745059967041016,4.229770183563232,4.205991744995117,4.2062764167785645,4.226924419403076,4.278785705566406,4.189180850982666,4.281364917755127,,4.1431145668029785,,14.566957473754883,4.306992053985596,,15.617051124572754
2009-07-01,,8.642358779907227,,,,,,,,3.396970748901367,,22.816282272338867,4.518834114074707,4.504329681396484,4.505467891693115,4.533052444458008,4.587380886077881,4.494275093078613,4.5411834716796875,,4.382349967956543,,15.81454849243164,4.582780361175537,,17.0313720703125
2009-08-01,,8.951013565063477,,,,,,,,3.486754894256592,,23.486967086791992,4.648617267608643,4.6388750076293945,4.640397071838379,4.668455600738525,4.723873615264893,4.629220485687256,4.659797191619873,,4.491093158721924,,16.54084587097168,4.706005096435547,,17.739566802978516
2009-09-01,,9.497099876403809,,,,,,,,3.659787654876709,,24.808597564697266,4.83149528503418,4.826066970825195,4.833991527557373,4.862729072570801,4.925648212432861,4.8169708251953125,4.8179473876953125,,4.6378960609436035,,17.753297805786133,4.882040500640869,,18.056522369384766
2009-10-01,,8.84927749633789,,,,,,,,3.74322772026062,,24.302297592163086,4.766603946685791,4.7558698654174805,4.757726669311523,4.786197185516357,4.848499298095703,4.740697860717773,4.778409957885742,,4.610709190368652,,17.155858993530273,4.82922887802124,,17.902141571044922
2009-11-01,,9.075114250183105,,,,,,,,3.7836384773254395,,25.36750030517578,4.984875202178955,4.984011650085449,4.9923882484436035,5.021678924560547,5.079946041107178,4.975384712219238,4.976097583770752,,4.784698486328125,,17.852867126464844,5.034604549407959,,18.889217376708984
2009-12-01,,9.794231414794922,,,,,,,,3.8846633434295654,,25.20969009399414,4.943580627441406,4.9606122970581055,4.97478723526001,5.0157928466796875,5.079946041107178,4.946049213409424,4.880077838897705,,4.692268371582031,,18.450307846069336,4.964189529418945,,19.073678970336914
2010-01-01,,9.529101371765137,,,,,,,,3.954505205154419,,24.27610206604004,4.911715984344482,4.908581256866455,4.911308765411377,4.941476345062256,5.002273082733154,4.896521091461182,4.936718940734863,,4.77793025970459,,18.123708724975586,4.9810791015625,,18.639211654663086
2010-02-01,,9.994223594665527,,,,,,,,3.976918935775757,,24.21582794189453,4.99035120010376,4.9923858642578125,4.995364665985107,5.031758785247803,5.087160110473633,4.980842113494873,4.994866371154785,,4.822688102722168,,18.55550765991211,5.047331809997559,,19.07128143310547
2010-03-01,,10.805213928222656,,,,,,,,4.08840799331665,,25.883344650268555,5.232308387756348,5.249787330627441,5.259543418884277,5.296588897705078,5.360013008117676,5.251865386962891,5.157678127288818,6.634634971618652,4.95136833190918,,19.92779541015625,5.246094226837158,,19.95551300048828
2010-04-01,,11.547117233276367,,,,,,,,4.16560697555542,,25.50832176208496,5.274650573730469,5.291690349578857,5.301570415496826,5.338720321655273,5.402455806732178,5.288003921508789,5.192567348480225,6.67844820022583,4.996126174926758,,20.48973274230957,5.282232761383057,,20.479738235473633
2010-05-01,,10.646024703979492,,,,,,,,3.9884438514709473,,22.985200881958008,4.9303460121154785,4.920883655548096,4.903201580047607,4.930582046508789,4.99241304397583,4.881760120391846,4.941676616668701,6.1726460456848145,4.794714450836182,,18.76732635498047,4.975056171417236,,18.95615577697754
2010-06-01,,9.78073501586914,,,,,,,,4.048433780670166,,22.80426788330078,4.814838886260986,4.78853702545166,4.770845413208008,4.791947364807129,4.852723598480225,4.743142604827881,4.877650260925293,5.997180938720703,4.755551338195801,,18.3173885345459,4.890732288360596,,18.08553695678711
2010-07-01,,10.500039100646973,,,,,,,,4.189303874969482,,24.901752471923828,5.1248860359191895,5.113387107849121,5.101736545562744,5.129492282867432,5.1928391456604,5.080646991729736,5.122115612030029,6.423311710357666,4.968152046203613,,19.608009338378906,5.167794704437256,,19.50486946105957
2010-08-01,,9.699237823486328,,,,,,,,4.197643756866455,,24.171323776245117,4.991139888763428,4.969008922576904,4.95133113861084,4.972775459289551,5.034928321838379,4.923948764801025,5.040627479553223,6.222779273986816,4.91779899597168,,19.021900177001953,5.065401077270508,,18.89788246154785
2010-09-01,,10.942270278930664,,,,,,,,4.3184285163879395,,26.66417121887207,5.368058681488037,5.37206506729126,5.3604326248168945,5.388679504394531,5.453999042510986,5.333775520324707,5.308372974395752,6.749177932739258,5.130400657653809,,21.2479305267334,5.37860107421875,,20.13224220275879
2010-10-01,,11.414676666259766,,,,,,,,4.41044807434082,,27.528635025024414,5.538280963897705,5.5525360107421875,5.546934604644775,5.575534820556641,5.642276763916016,5.5206074714660645,5.436426639556885,6.981043338775635,5.236700534820557,,22.03533172607422,5.523155212402344,,20.814510345458984
2010-11-01,,11.893782615661621,,,,,,,,4.343409538269043,,26.422929763793945,5.453169822692871,5.468316078186035,5.456691265106201,5.485121726989746,5.551175117492676,5.430204391479492,5.35493803024292,6.8682427406311035,5.163968086242676,,21.94652557373047,5.438831806182861,,20.722089767456055
2010-12-01,,12.792105674743652,,,,,,,,4.419320106506348,,27.72296142578125,5.574757099151611,5.642772674560547,5.613111972808838,5.66594934463501,5.696938514709473,5.5507426261901855,5.325835704803467,7.1189093589782715,5.102426052093506,,22.994421005249023,5.468946933746338,,21.938926696777344
2011-01-01,,12.856905937194824,,,,,,,,4.512178421020508,8.31832218170166,28.335229873657227,5.803481101989746,5.8404316902160645,5.830967426300049,5.872482776641846,5.943151950836182,5.814105033874512,5.604185104370117,7.354366779327393,5.363572597503662,,23.167110443115234,5.727942943572998,,22.528169631958008
2011-02-01,,13.578535079956055,,,,,,,,4.572826862335205,8.37812614440918,29.064571380615234,5.941210746765137,5.975826740264893,5.973186492919922,6.020683765411377,6.093451976776123,5.957587242126465,5.701122283935547,7.53342866897583,5.445104122161865,,23.395891189575195,5.84662389755249,,23.35067367553711
2011-03-01,,13.957387924194336,,,,,,,,4.574791431427002,8.410881996154785,29.207712173461914,5.978774547576904,6.018907070159912,6.016469478607178,6.057734966278076,6.131027698516846,5.995015621185303,5.725356578826904,7.584590911865234,5.468398094177246,,24.034067153930664,5.8778557777404785,,23.402400970458984
2011-04-01,,14.298386573791504,,,,,,,,4.636647701263428,8.572630882263184,30.72092628479004,6.172849178314209,6.228152751922607,6.2267069816589355,6.273861408233643,6.350217342376709,6.207118988037109,5.88287878036499,7.853185653686523,5.602341651916504,,25.069604873657227,6.052754878997803,,24.454437255859375
2011-05-01,,14.009528160095215,,,,,,,,4.659209728240967,8.655013084411621,29.950687408447266,6.110245704650879,6.16045618057251,6.152505874633789,6.1935858726501465,6.268804550170898,6.132258892059326,5.858645915985107,7.75725793838501,5.602341651916504,,24.50367546081543,6.0152764320373535,,24.42319107055664
